Manf#,Quantity,Description
SI8652AB-B-IS1,3,SI865 Digital Isolator
ATM90E26-YU-B,3, atm90e26 Energy monitor IC
C0805JR-0710KL,30,10K R
RMCF0805JT51R0,30,51Ω R
MH2029-601Y,10, Ferrite Bead
500R15N270KV4T,0,27p C
ABLS2-3.579545MHZ-D4Y-T,9,8.192MHz Crystal
CL21A106KQCLRNC,50,10µF C
CL21F104ZBCNNNC,50,.1µF C
RAC04-3.3SGB,3,120VAC -> 3.3VDC
CL21B334KAFNNNG,0,.33µF C
RC0805FR-07100RL,0,100Ω R
OSTTE030161,8,3 pos TB
SJ-3523-SMT-TR,8,TRS 2.5Female audio jack
CRE1S0505S3C,3,DC-DC Isolator
RC0805JR-071KL,50,SMD 1K R 5% 1/8W 0805
08055C333KAT2A,9,CAP CER 0.033UF 50V X7R 0805
B72660M0251K072,8,VARISTOR 390V 1.2KA 4032
HI1206T500R-10,1,FERRITE BEAD 50 OHM 1206 1LN
LVR005NK,3,PTC RESET FUSE 240V 50MA RADIAL
RL1220S-120-F,10,RES SMD 12 OHM 1% 1/3W 0805
RC0805FR-07499RL,40,RES SMD 499 OHM 1% 1/8W 0805
LTST-C150GKT,40,LED GREEN CLEAR 1206 SMD
CHV1206-JW-224ELF,20,RES SMD 220K OHM 5% 1/4W 1206
202R18W102KV4E,14,CAP CER 1000PF 2KV X7R 1206
C1210C104KCRACTU,0,CAP CER 0.1UF 500V X7R 1210
